,date,positive_sentiment,stock
174,2020-06-23,0,ADRO
175,2020-06-22,1,ADRO
176,2020-06-19,0,ADRO
177,2020-06-18,0,ADRO
178,2020-06-17,1,ADRO
179,2020-06-16,0,ADRO
180,2020-06-15,1,ADRO
181,2020-06-12,0,ADRO
182,2020-06-11,0,ADRO
183,2020-06-10,1,ADRO
184,2020-06-09,1,ADRO
185,2020-06-08,0,ADRO
186,2020-06-05,0,ADRO
187,2020-06-04,0,ADRO
188,2020-06-03,1,ADRO
189,2020-06-02,1,ADRO
190,2020-05-29,1,ADRO
191,2020-05-28,0,ADRO
192,2020-05-27,1,ADRO
193,2020-05-26,0,ADRO
194,2020-05-20,0,ADRO
195,2020-05-19,1,ADRO
196,2020-05-18,0,ADRO
197,2020-05-15,0,ADRO
198,2020-05-14,1,ADRO
199,2020-05-13,0,ADRO
200,2020-05-12,0,ADRO
201,2020-05-11,1,ADRO
202,2020-05-08,1,ADRO
203,2020-05-06,1,ADRO
204,2020-05-05,0,ADRO
205,2020-05-04,1,ADRO
206,2020-04-30,0,ADRO
207,2020-04-29,0,ADRO
208,2020-04-28,1,ADRO
209,2020-04-27,0,ADRO
210,2020-04-24,1,ADRO
211,2020-04-23,0,ADRO
212,2020-04-22,0,ADRO
213,2020-04-21,0,ADRO
214,2020-04-20,1,ADRO
215,2020-04-17,0,ADRO
216,2020-04-16,0,ADRO
217,2020-04-15,1,ADRO
218,2020-04-14,0,ADRO
219,2020-04-13,1,ADRO
220,2020-04-09,0,ADRO
221,2020-04-08,0,ADRO
222,2020-04-07,1,ADRO
223,2020-04-06,1,ADRO
224,2020-04-03,1,ADRO
225,2020-04-02,0,ADRO
226,2020-04-01,1,ADRO
227,2020-03-31,0,ADRO
228,2020-03-30,0,ADRO
229,2020-03-27,1,ADRO
230,2020-03-26,1,ADRO
231,2020-03-24,1,ADRO
232,2020-03-23,1,ADRO
233,2020-03-20,0,ADRO
234,2020-03-19,0,ADRO
235,2020-03-18,0,ADRO
236,2020-03-17,0,ADRO
237,2020-03-16,1,ADRO
238,2020-03-13,0,ADRO
239,2020-03-12,0,ADRO
240,2021-03-12,1,ANTM
241,2021-03-10,0,ANTM
242,2021-03-09,0,ANTM
243,2021-03-08,1,ANTM
244,2021-03-05,0,ANTM
245,2021-03-04,0,ANTM
246,2021-03-03,0,ANTM
247,2021-03-02,0,ANTM
248,2021-03-01,1,ANTM
249,2021-02-26,0,ANTM
250,2021-02-25,1,ANTM
251,2021-02-24,0,ANTM
252,2021-02-23,0,ANTM
253,2021-02-22,1,ANTM
254,2021-02-19,1,ANTM
255,2021-02-18,0,ANTM
256,2021-02-17,0,ANTM
257,2021-02-16,1,ANTM
258,2021-02-15,0,ANTM
259,2021-02-11,1,ANTM
260,2021-02-10,0,ANTM
261,2021-02-09,1,ANTM
262,2021-02-08,1,ANTM
263,2021-02-05,1,ANTM
264,2021-02-04,1,ANTM
265,2021-02-03,0,ANTM
266,2021-02-02,1,ANTM
267,2021-02-01,0,ANTM
268,2021-01-29,0,ANTM
269,2021-01-28,0,ANTM
270,2021-01-27,0,ANTM
271,2021-01-26,1,ANTM
272,2021-01-25,0,ANTM
273,2021-01-22,0,ANTM
274,2021-01-21,1,ANTM
275,2021-01-20,0,ANTM
276,2021-01-19,0,ANTM
277,2021-01-18,0,ANTM
278,2021-01-15,1,ANTM
279,2021-01-14,1,ANTM
280,2021-01-13,1,ANTM
281,2021-01-12,1,ANTM
282,2021-01-11,0,ANTM
283,2021-01-08,1,ANTM
284,2021-01-07,0,ANTM
285,2021-01-06,1,ANTM
286,2021-01-05,1,ANTM
287,2021-01-04,1,ANTM
288,2020-12-30,0,ANTM
289,2020-12-29,1,ANTM
290,2020-12-28,0,ANTM
291,2020-12-23,0,ANTM
292,2020-12-22,0,ANTM
293,2020-12-21,1,ANTM
294,2020-12-18,1,ANTM
295,2020-12-17,1,ANTM
296,2020-12-16,1,ANTM
297,2020-12-15,1,ANTM
298,2020-12-14,1,ANTM
299,2020-12-11,1,ANTM
300,2020-12-10,1,ANTM
301,2020-12-08,1,ANTM
302,2020-12-07,1,ANTM
303,2020-12-04,1,ANTM
304,2020-12-03,1,ANTM
305,2020-12-02,1,ANTM
306,2020-12-01,0,ANTM
307,2020-11-30,0,ANTM
308,2020-11-27,1,ANTM
309,2020-11-26,0,ANTM
310,2020-11-25,0,ANTM
311,2020-11-24,1,ANTM
312,2020-11-23,0,ANTM
313,2020-11-20,0,ANTM
314,2020-11-19,1,ANTM
315,2020-11-18,1,ANTM
316,2020-11-17,0,ANTM
317,2020-11-16,1,ANTM
318,2020-11-13,0,ANTM
319,2020-11-12,0,ANTM
320,2020-11-11,0,ANTM
321,2020-11-10,1,ANTM
322,2020-11-09,0,ANTM
323,2020-11-06,1,ANTM
324,2020-11-05,1,ANTM
325,2020-11-04,1,ANTM
326,2020-11-03,1,ANTM
327,2020-11-02,1,ANTM
328,2020-10-27,0,ANTM
329,2020-10-26,0,ANTM
330,2020-10-23,0,ANTM
331,2020-10-22,1,ANTM
332,2020-10-21,0,ANTM
333,2020-10-20,1,ANTM
334,2020-10-19,1,ANTM
335,2020-10-16,0,ANTM
336,2020-10-15,1,ANTM
337,2020-10-14,0,ANTM
338,2020-10-13,0,ANTM
339,2020-10-12,1,ANTM
340,2020-10-09,1,ANTM
341,2020-10-08,1,ANTM
342,2020-10-07,0,ANTM
343,2020-10-06,0,ANTM
344,2020-10-05,0,ANTM
345,2020-10-02,1,ANTM
346,2020-10-01,0,ANTM
347,2020-09-30,0,ANTM
348,2020-09-29,1,ANTM
349,2020-09-28,0,ANTM
350,2020-09-25,0,ANTM
351,2020-09-24,0,ANTM
352,2020-09-23,1,ANTM
353,2020-09-22,0,ANTM
354,2020-09-21,1,ANTM
355,2020-09-18,0,ANTM
356,2020-09-17,0,ANTM
357,2020-09-16,0,ANTM
358,2020-09-15,1,ANTM
359,2020-09-14,1,ANTM
360,2020-09-11,0,ANTM
361,2020-09-10,0,ANTM
362,2020-09-09,0,ANTM
363,2020-09-08,0,ANTM
364,2020-09-07,1,ANTM
365,2020-09-04,0,ANTM
366,2020-09-03,1,ANTM
367,2020-09-02,1,ANTM
368,2020-09-01,0,ANTM
369,2020-08-31,1,ANTM
370,2020-08-28,1,ANTM
371,2020-08-27,0,ANTM
372,2020-08-26,1,ANTM
373,2020-08-25,0,ANTM
374,2020-08-24,0,ANTM
